template_id,ans_id,qid,question_text,student_answer,semantic_score,logic_score,actual_word_count,total_word_count,length_compliance_score,max_marks,human_score
T001,ans_T001_01,A-1,1 ) Define machine learning and its relationship to other fields like statistics and Al.,"Define machine learning and its relationship to other fields like  statistics and AI.  Machine Learning (ML) is a subfield of Artificial Intelligence defined formally by Tom  Mitchell as: a computer program is said to learn from Experience (E) with respect to  some class of Tasks (T) and performance measure P, if its performance at tasks in T,  as measured by P, improves with E. The objective is generalization—the model's  ability to perform accurately on new, unseen data.   Relationship to AI: AI is the overarching goal of creating intelligent machines.  ML is the primary paradigm used to achieve this goal, focusing specifically on  enabling systems to learn, adapt, and make predictions from data rather than  relying on explicit programming.   Relationship to Statistics: ML is fundamentally rooted in inferential statistics  and mathematical optimization. While Statistics primarily focuses on inference  (drawing conclusions and proving hypotheses) and model interpretability, ML  emphasizes predictive accuracy and algorithmic efficiency. The field of  Statistical Learning Theory formalizes the relationship between the two.",0.8531,0.9044,166,150,1.0,5.0,5.0
T001,ans_T001_01,A-2,2 ) Explain the assumptions and properties of linear and logistic regression.,SKIPPED/NOT_FOUND,0.0,0.0,1,150,0.0067,5.0,0.0
T001,ans_T001_01,A-3,"3 ) Describe how the decision tree algorithm works, including the role of entropy and information gain.","The Decision Tree (DT) algorithm is a non-parametric, supervised learning method  used for both classification and regression. It operates by performing recursive  partitioning of the feature space, resulting in a tree structure where each internal  node represents a feature test and leaf nodes represent the final decision (class label  or predicted value).   Entropy: In the context of decision trees, Entropy is a measure of impurity or  randomness within a set of samples. High entropy indicates the data is highly  mixed (low homogeneity). The goal of the DT algorithm is to find splits that  minimize the total entropy in the resulting child nodes.   Information Gain (IG): This metric quantifies the expected reduction in entropy  achieved by splitting a dataset based on a specific feature. The DT algorithm  follows a greedy strategy, always choosing the feature split that yields the  maximum Information Gain, as this ensures the most effective separation of  classes at that node.",0.6153,0.733,155,150,1.0,5.0,5.0
T001,ans_T001_01,A-4,4) Explain the back-propagation algorithm in the context of neural networks.,"Back-propagation (Backward Propagation of Errors) is the core algorithm used to  train deep neural networks efficiently. It is a method for calculating the gradient of  the loss function with respect to every single weight in the network, which is  essential for applying Gradient Descent optimization.   Forward Pass: Input data is passed through the network, generating an output  prediction. The Loss Function is calculated, quantifying the error.   Backward Pass: The calculated error signal is propagated backward through  the network, layer by layer, starting from the output. This relies entirely on  the Chain Rule of Calculus to determine the partial derivative (gradient) of the  loss with respect to each weight.   Weight Update: Once all gradients are computed, the optimizer (e.g., Stochastic  Gradient Descent or Adam) updates the weights in the opposite direction of  the gradient, thereby iteratively minimizing the loss function.",0.8379,0.8669,139,150,0.9267,5.0,5.0
T001,ans_T001_01,A-5,5) Describe ensemble methods like bagging and boosting.,SKIPPED/NOT_FOUND,0.0,0.0,1,150,0.0067,5.0,0.0
T001,ans_T001_01,A-6,6 ) Explain the bias-variance tradeoff and its significance.,"The Bias-Variance Tradeoff is a foundational concept that decomposes a model's  total expected generalization error into three components: Bias squared, Variance,  and Irreducible Error. It highlights the inherent challenge in simultaneously achieving  both low model complexity (low variance) and high model fit (low bias).   Bias (Systematic Error): Error arising from the model being too simple and  making incorrect assumptions (e.g., assuming linearity). High Bias leads to  Underfitting, resulting in poor performance on both training and test data.   Variance (Random Error): Error arising from the model being too complex and  overly sensitive to minor fluctuations or noise in the training data. High  Variance leads to Overfitting, resulting in excellent training performance but  poor generalization on test data.   Significance: The tradeoff guides model selection and hyperparameter tuning.  The goal is to find the optimal point of complexity where the sum of Bias  squared and Variance is minimized, resulting in the lowest possible  generalization error.",0.8153,0.9704,155,150,1.0,5.0,5.0
T001,ans_T001_01,B-1,"1) Define and explain metrics like Precision, Recall, and F1-score and when to use them.","These three metrics are crucial for evaluating classification models, particularly on  imbalanced datasets, as they provide a nuanced view of performance derived from  the Confusion Matrix.   Precision: Measures the accuracy of positive predictions. It answers: ""Of all the  samples the model classified as positive, how many were correct?"" You use it  when the cost of a False Positive (Type I Error) is extremely high (e.g., spam  filtering, judicial decisions).   Recall (Sensitivity): Measures the model's ability to find all positive instances. It  answers: ""Of all the samples that were actually positive, how many did the  model correctly retrieve?"" You use it when the cost of a False Negative (Type II  Error) is extremely high (e.g., disease detection, fraud detection).   F1-Score: The harmonic mean of Precision and Recall. It provides a single,  balanced metric that severely penalizes models with uneven performance in  Precision and Recall. It is the ideal metric when seeking balanced performance  on imbalanced data.",0.8381,0.9959,155,150,1.0,5.0,5.0
T001,ans_T001_01,B-2,2) What is a confusion matrix and how is it used to evaluate a classification model?,"?  A confusion matrix is a tabular summary that provides a complete breakdown of a  classification model's performance on a set of test data. It clearly shows the four  possible prediction outcomes: True Positives (TP), True Negatives (TN), False Positives  (FP), and False Negatives (FN).   Usage in Evaluation: It serves as the foundational diagnostic tool. By examining  the counts of False Positives and False Negatives, a developer can immediately  identify the specific failure mode of the model (e.g., whether it struggles with  over-classification or under-classification). All other critical classification  metrics (Precision, Recall, F1) are calculated directly from the values within  this matrix.",0.8967,0.831,103,150,0.6867,5.0,4.5
T001,ans_T001_01,B-3,3) What is the difference between a cost function and a loss function?,SKIPPED/NOT_FOUND,0.0,0.0,1,150,0.0067,5.0,0.0
T001,ans_T001_01,B-4,4) How do you select the right machine learning algorithm for a given problem?,"?  Algorithm selection is an iterative, multi-criteria process that balances predictive  performance with practical constraints.   Define the Task: First, determine the problem type: Classification (discrete  output) or Regression (continuous output). This eliminates the majority of  irrelevant algorithms.   Analyze Data Characteristics: For simple, linear data, choose interpretable  models like Linear Regression. For large, complex, non-linear data, prioritize  high-capacity models like Gradient Boosting or Deep Neural Networks.   Evaluate Constraints: Consider Interpretability (use transparent models like  simple Decision Trees if explainability is required) and Latency (use models with  fast inference times for real-time applications).  4. Benchmarking: Test multiple suitable candidates using rigorous k-fold cross validation and select the model that achieves the best score on the target  business metric while satisfying all operational constraints.",0.4824,0.6666,121,150,0.8067,5.0,3.5
T001,ans_T001_01,B-5,5) Explain the steps in the machine learning model development lifecycle.,"The Machine Learning Model Development Lifecycle (MLOps) is a structured process  required to move a project from research and experimentation into a stable,  maintainable production environment.   Data Preparation: This involves data cleaning (handling missing data, outliers),  Exploratory Data Analysis (EDA), and Feature Engineering—the process of  transforming raw variables into highly predictive input features.   Model Training and Selection: The data is partitioned into training, validation,  and test sets. Models are trained on the training set, and hyperparameters are  tuned on the validation set to select the optimal configuration.   Evaluation: The finalized model is evaluated once on the held-out test set to  obtain an unbiased measure of its generalization performance against the  business objective.   Deployment and Monitoring: The validated model is deployed to production.  Continuous monitoring is essential to track performance in real-time and  detect Model Drift (accuracy degradation due to changing input data  characteristics), triggering necessary retraining.",0.6922,0.9506,146,150,0.9733,5.0,5.0
T001,ans_T001_01,C-1,1 ) What are the role of feature scaling in machine learning.,"Feature Scaling is a critical data preprocessing step used to standardize or normalize  the range of independent numerical variables. Its primary role is to ensure numerical  stability and prevent features with larger magnitudes from unfairly dominating the  model's objective function.   Distance-Based Algorithms: It is mandatory for algorithms based on distance  metrics, such as K-Nearest Neighbors (KNN) and K-Means Clustering, to ensure  that distance calculations are not skewed by the arbitrary units of the features.   Optimization: It significantly improves the convergence speed of algorithms  that use Gradient Descent (e.g., Logistic Regression, Neural Networks) by  ensuring that the loss function surface is more spherical, leading to faster  minimization.",0.8613,0.9729,108,150,0.72,5.0,5.0
T001,ans_T001_01,C-2,2 ) What are the advantages and disadvantages of parametric versus non-parametric models?,"What are the advantages and disadvantages of parametric versus non parametric models?  The distinction lies in whether the model makes fixed assumptions about the  functional form of the data relationship.  Model Type  Advantages  Disadvantages  Parametric (e.g.,  Linear  Regression)  High Bias (Underfitting) if data  High interpretability, fast  training, requires less data.  violates structural assumptions,  limited flexibility.  Non-Parametric  (e.g., Decision  Trees)  High flexibility (Low Bias),  can model complex, non linear relationships.  High Variance (Overfitting),  requires more data, often slower  inference, low interpretability.",0.8661,0.859,80,150,0.5333,5.0,4.5
