template_id,template_ocr_text,class,subject,exam_type,semester,total_marks,section_labels,attempt_rule,marks_rule,per_question_mark,exam_date,date,last_updated
T036,,FY Computer Science,Machine Learning,Internal Examination,Sem-2,15.0,A,A=Attempt all 5,A=Total 15 marks ? 3 marks per question,A:3,2026-02-19,,2026-02-19 20:29
T037,,Msc-Artificial Intelligence,Machine Learning ,Internal Examination,Sem-1,10.0,QA,"QA: Attempt (1,2) OR (1_alt,2_alt)",QA: 10 Marks Total (Best of Groups),"1:5, 2:5, 1_alt:5, 2_alt:5",2026-02-25,,2026-02-25 13:19
T002,,SY Datascience,Machine Learning,Mid-Term,3,50.0,"A,B,C",A=Attempt any 5 out of 7 | B=Attempt any 4 out of 6 | C=Attempt all 4,A=Total 10 marks ? 2 marks per question | B=Total 20 marks ? 5 marks per question | C=Total 20 marks ? 5 marks per question,"A:2, B:5, C:5",2026-08-05,,2026-02-26 00:25
T003,,Not Specified,Machine Learning,Internal Examination,Not Specified,47.0,"A,B",A=Attempt any 4 out of 5 | B=Attempt all 5,A=Total 8 marks ? 2 marks per question | B=Total 15 marks ? 3 marks per question,"A:8, B:3",2026-02-26,,2026-02-26 00:46
T004,,FY-Information Technology,Machine Learning,Internal Examination,Not Specified,40.0,"A,B",A=Attempt any 4 out of 6 | B=Attempt any 4 out of 5,A=Total 20 marks ? 5 marks per question | B=Total 20 marks ? 5 marks per question,"A:5, B:5",2026-02-26,,2026-02-26 01:15
T005,,FY Data Science,Machine Learning,Internal Examination,3,47.0,"A,B",A=Attempt any 4 out of 5 | B=Attempt any 4 out of 5,A=Total 32 marks ? 8 marks per question | B=Total 8 marks ? 2 marks per question,"A:8, B:2",2026-02-26,,2026-02-26 01:47
T006,,SY Data Science,Machine Learning,Internal Examination,2,50.0,"A,B",A=Answer all 10 questions | B=Attempt any 4 out of 5,A=Total 30 marks ? 3 marks per question | B=Total 20 marks ? 5 marks per question,"A:3, B:5",2023-10-16,,2026-02-26 08:51
T007,,FY-Information Technology,Machine Learning,Internal Examination,4,40.0,"A,B",A=Attempt any 4 out of 5 | B=Attempt all 4,A=Total 20 marks ? 5 marks per question | B=Total 20 marks ? 5 marks per question,"A:5, B:5",2026-02-26,,2026-02-26 09:02
T008,,TY-Computer Science,Machine Learning,Mid-Term,1,60.0,"1,2,3",1=Attempt all 10 questions | 2=Attempt any 6 out of 7 | 3=Attempt all 3,1=Total 20 marks ? 2 marks per question | 2=Total 30 marks ? 5 marks per question | 3=Total 10 marks ? 3 marks per question,"1:2, 2:5, 3:5",2026-02-26,,2026-02-26 09:15
T009,,Not Specified,Machine Learning,Internal Examination,Not Specified,50.0,"A,B",A=Attempt any 5 out of 6 | B=Attempt all 5,A=Total 25 marks ? 5 marks per question | B=Total 25 marks ? 5 marks per question,"A:5, B:5",2026-02-26,,2026-02-26 09:25
T010,,TY Computer Science,Machine Learning,Internal Examination,1,40.0,"A,B",A=Attempt any 4 out of 5 | B=Attempt any 4 out of 5,A=Total 32 marks ? 8 marks per question | B=Total 8 marks ? 2 marks per question,"A:8, B:2",2026-02-26,,2026-02-26 09:35
